Lot Number,Contract Number,Provider or Practice Name,Full practice address,Full practice address 2,Full practice address 3,Borough,ICS,Email,Service,RandomID
1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hillingdon,NWL,REDACTED,IMOS,GW21870JF278
2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Ealing;Hounslow,NWL,REDACTED,IMOS,GW21870JF279
3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hammersmith and Fulham;Kensington and Chelsea;Westminster,NWL,REDACTED,IMOS,GW21870JF280
4,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Camden;Islington,NCL,REDACTED,IMOS,GW21870JF281
5,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,City of London;Hackney,NEL,REDACTED,IMOS,GW21870JF282
6,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Tower Hamlets;Newham,NEL,REDACTED,IMOS,GW21870JF283
7,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Brent;Harrow,NWL,REDACTED,IMOS,GW21870JF284
8,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Barnet,NCL,REDACTED,IMOS,GW21870JF285
9,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Enfield,NCL,REDACTED,IMOS,GW21870JF286
10,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Haringey,NCL,REDACTED,IMOS,GW21870JF287
11,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Waltham Forest;Redbridge,NEL,REDACTED,IMOS,GW21870JF288
12,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Havering;Barking and Dagenham,NEL,REDACTED,IMOS,GW21870JF298
13,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Greenwich;Bexley,SEL,REDACTED,IMOS,GW21870JF289
14,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bromley,SEL,REDACTED,IMOS,GW21870JF290
15,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Southwark;Lewisham,SEL,REDACTED,IMOS,GW21870JF291
17,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lambeth;Wandsworth,SEL & SWL,REDACTED,IMOS,GW21870JF292
18,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sutton;Merton,SWL,REDACTED,IMOS,GW21870JF293
19,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kingston upon Thames;Richmond upon Thames,SWL,REDACTED,IMOS,GW21870JF294
C1,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon,SWL,REDACTED,IMOS,GW21870JF295
C2,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon,SWL,REDACTED,IMOS,GW21870JF296
C3,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon,SWL,REDACTED,IMOS,GW21870JF297
